time_hpi,TPM_1e3,Tupple,Molecule,Segment
0,0.492610837,0,mRNA,PB2
0,0.492610837,0,cRNA,PB2
0,0.492610837,0,vRNA,PB2
1.886287625,1.33532135,1,mRNA,PB2
2.006688963,0.102558611,1,cRNA,PB2
2.006688963,0.102558611,1,vRNA,PB2
3.973244147,8.210455212,2,mRNA,PB2
3.973244147,6.363164572,2,cRNA,PB2
3.973244147,3.653804966,2,vRNA,PB2
6.02006689,5.603242335,3,mRNA,PB2
6.02006689,9.420976325,3,cRNA,PB2
5.939799331,13.11638137,3,vRNA,PB2
7.946488294,3.366723232,4,mRNA,PB2
7.946488294,8.292831606,4,cRNA,PB2
7.946488294,17.52928481,4,vRNA,PB2
12,1.600985222,5,mRNA,PB2
11.95986622,5.911741931,5,cRNA,PB2
12.08026756,22.90558018,5,vRNA,PB2
0,-0.597014925,0,mRNA,PB1
0,-0.597014925,0,cRNA,PB1
0,-0.597014925,0,vRNA,PB1
2.014023841,0.298507463,1,mRNA,PB1
2.013222478,-0.895522388,1,cRNA,PB1
2.013222478,-0.895522388,1,vRNA,PB1
3.949313834,3.880597015,2,mRNA,PB1
4.031453471,6.268656716,2,cRNA,PB1
4.031453471,6.268656716,2,vRNA,PB1
5.962536312,3.582089552,3,mRNA,PB1
5.965741761,8.358208955,3,cRNA,PB1
5.976159471,23.88059701,3,vRNA,PB1
7.97575879,3.28358209,4,mRNA,PB1
7.977962536,6.567164179,4,cRNA,PB1
7.996994891,34.92537313,4,vRNA,PB1
12.0010017,0.895522388,5,mRNA,PB1
12.04467595,5.970149254,5,cRNA,PB1
11.99799659,56.41791045,5,vRNA,PB1
0,-0.808080808,0,mRNA,PA
0,-0.808080808,0,cRNA,PA
0,-0.808080808,0,vRNA,PA
2.006688963,-0.404040404,1,mRNA,PA
2.006688963,-0.404040404,1,cRNA,PA
2.006688963,-0.404040404,1,vRNA,PA
3.973244147,2.828282828,2,mRNA,PA
4.013377926,4.444444444,2,cRNA,PA
3.973244147,7.272727273,2,vRNA,PA
5.899665552,1.212121212,3,mRNA,PA
5.899665552,6.464646465,3,cRNA,PA
5.899665552,31.11111111,3,vRNA,PA
7.986622074,1.212121212,4,mRNA,PA
8.026755853,6.060606061,4,cRNA,PA
7.986622074,47.27272727,4,vRNA,PA
11.95986622,-0.404040404,5,mRNA,PA
11.95986622,4.04040404,5,cRNA,PA
11.95986622,72.32323232,5,vRNA,PA
0.080197675,-0.247093746,0,mRNA,NP
0.080197675,-0.247093746,0,cRNA,NP
0.080197675,-0.247093746,0,vRNA,NP
1.996782806,4.021492181,1,mRNA,NP
2.039170163,1.037296231,1,cRNA,NP
2.039369165,0.788544137,1,vRNA,NP
4.004908708,43.86411502,2,mRNA,NP
4.193562296,8.04713023,2,cRNA,NP
4.037942986,2.571267475,2,vRNA,NP
5.965274208,43.40724034,3,mRNA,NP
6.032138771,9.826536873,3,cRNA,NP
6.032138771,9.826536873,3,vRNA,NP
8.012802441,33.99694864,4,mRNA,NP
7.992305269,9.618414288,4,cRNA,NP
7.947728893,15.33888327,4,vRNA,NP
12.06308353,21.14558631,5,mRNA,NP
12.07303361,8.707981626,5,cRNA,NP
12.01592013,30.09983251,5,vRNA,NP
0.000801389,0.297515694,0,mRNA,NEP
0.000801389,0.297515694,0,cRNA,NEP
0.000801389,0.297515694,0,vRNA,NEP
1.938560171,3.927808201,1,mRNA,NEP
1.933351142,0.047081608,1,cRNA,NEP
1.933351142,0.047081608,1,vRNA,NEP
4.045812742,13.83097369,2,mRNA,NEP
4.036196073,6.666555363,2,cRNA,NEP
3.991919327,3.680379324,2,vRNA,NEP
5.938894083,14.17657273,3,mRNA,NEP
5.926071858,4.624014959,3,cRNA,NEP
5.971149993,8.207225858,3,vRNA,NEP
8.06918659,11.24449045,4,mRNA,NEP
8.020902898,5.27314011,4,cRNA,NEP
8.028516095,10.94497128,4,vRNA,NEP
11.96493923,3.58020569,5,mRNA,NEP
11.96774409,5.669827701,5,cRNA,NEP
12.02043542,14.92486977,5,vRNA,NEP
